Hombres,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
74,38065,40256,42527,44788,46923,48873,50579,52049,53423,54771,56096,57452,58864,60287,61649,62885,64083,65347,66671,68197,70079,72340,74967,77922,81130,84470,87904,91410,94948,98515,102232,106612,111027,115394,120009,124182,128013,131773,135519,139314,143243,147463,152060,157055,162337,167564
75,33929,35815,37885,40045,42208,44291,46173,47800,49246,50583,51844,53118,54458,55858,57264,58556,59760,60953,62118,63362,64856,66691,68878,71409,74232,77269,80485,83838,87234,90691,94263,97943,102126,106312,110548,115006,119006,122691,126198,129664,133146,136866,140973,145397,150127,155024
76,30230,31786,33562,35518,37581,39674,41670,43458,45046,46449,47694,48900,50150,51477,52858,54181,55431,56619,57716,58800,60024,61485,63256,65361,67769,70433,73347,76482,79719,83026,86480,90004,93506,97455,101501,105575,109832,113667,117097,120316,123473,126747,130366,134309,138482,142832
77,26929,28185,29645,31322,33180,35168,37163,39052,40779,42307,43607,44789,45972,47209,48511,49803,51074,52300,53392,54406,55470,56671,58078,59783,61781,64040,66588,69424,72440,75583,78879,82276,85617,88897,92699,96575,100456,104518,108074,111211,114116,117078,120261,123723,127419,131224
78,23972,24985,26160,27529,29119,30903,32787,34665,36479,38129,39541,40766,41923,43085,44294,45502,46741,47981,49095,50095,51090,52138,53295,54647,56261,58123,60281,62757,65480,68400,71522,74756,77958,81071,84224,87851,91524,95214,98973,102214,105030,107746,110619,113653,116878,120226
79,21302,22120,23063,24165,25461,26986,28670,30431,32225,33943,35461,36786,37970,39101,40231,41349,42499,43700,44818,45842,46817,47792,48804,49909,51189,52682,54459,56554,58926,61554,64448,67501,70533,73507,76480,79478,82903,86378,89768,93188,96095,98713,101340,104068,106877,109769
80,18872,19548,20304,21187,22227,23466,24899,26470,28145,29832,31404,32818,34088,35238,36325,37365,38419,39531,40611,41631,42621,43571,44505,45471,46513,47692,49115,50842,52842,55129,57732,60551,63399,66197,69021,71835,74653,77877,81053,84111,87175,89868,92387,94873,97384,99882
81,16625,17212,17835,18542,19372,20368,21533,22857,24341,25906,27446,28903,30249,31461,32560,33551,34525,35541,36532,37507,38491,39443,40353,41241,42149,43102,44222,45610,47258,49186,51453,53979,56597,59206,61851,64512,67141,69781,72706,75552,78270,81095,83666,86040,88310,90513
82,14526,15063,15602,16182,16843,17641,18570,19646,20894,22279,23696,25110,26478,27752,28902,29895,30818,31748,32647,33538,34468,35411,36321,37176,38005,38827,39733,40835,42157,43746,45664,47859,50189,52571,55030,57505,59972,62424,64795,67397,69907,72395,75073,77483,79635,81607
83,12562,13068,13559,14059,14602,15238,15980,16836,17844,19004,20244,21544,22857,24144,25334,26366,27284,28162,28981,29778,30625,31510,32396,33249,34044,34793,35574,36467,37519,38799,40381,42241,44251,46356,48580,50864,53152,55436,57623,59700,61972,64258,66611,69100,71275,73133
